city,origin,destination
Genève-Aéroport,43000,45734
Genève,187600,199531
Zürich Oerlikon,113800,105643
Zürich HB,550000,510581
Thun,40400,47462
Basel SBB,140900,177525
Lausanne ,127900,152045
Winterthur,134700,142045
St. Gallen,77400,87128
Luzern,145400,129418
Lugano,34100,54515
Baden ,55400,49661
Fribourg/Freiburg,31500,39040
Biel/Bienne,65200,67899
Neuchâtel ,28900,41493
Bellinzona ,16100,35366
Zug,58900,50948
Bern ,298900,244708
Olten,69600,56612
Chur,40300,44277
Aarau,78600,56958
