,Bern,Basel SBB,Lausanne,Luzern,St. Gallen,Winterthur,Zug,Aarau,Baden,Biel/Bienne,Chur,Fribourg/Freiburg,Genève-Aéroport,Genève,Neuchâtel,Olten,Thun,Bellinzona,Lugano,Lugano Nord,Zürich Oerlikon,Zürich HB
Fribourg/Freiburg,31109.895000000004,135908.57199999996,65778.34999999999,151089.176,233686.34099999993,176547.29900000006,172963.50499999992,110109.57900000001,141178.141,64571.564000000006,265835.3340000001,0.0,131923.168,126004.98000000001,93771.68400000001,96736.175,62373.90700000001,316462.106,346017.10199999996,345357.16799999995,155128.34899999996,151602.48400000003
Genève-Aéroport,163033.06300000002,233259.12899999996,66144.818,275911.1720000001,357093.2449999999,299954.2029999999,297785.50100000005,233516.483,264585.045,160072.47100000002,389242.238,131923.168,0.0,5918.188000000002,130872.35099999997,220143.07900000003,194297.075,441284.1020000002,470839.09800000023,470179.164,278535.253,275009.3880000001
Genève,157114.875,227340.94099999993,60226.62999999999,269992.98400000005,351175.0569999998,294036.01499999984,291867.3130000001,227598.29499999998,258666.85699999996,154154.283,383324.04999999993,126004.98000000001,5918.188000000002,0.0,124954.16299999997,214224.891,188378.887,435365.9140000002,464920.91000000027,464260.9759999999,272617.06499999994,269091.2
Neuchâtel,62661.789,102386.77799999999,75087.957,145038.82100000005,226220.8940000001,169081.85200000007,166913.15000000005,102644.13200000001,133712.69400000002,29200.119999999995,258369.8870000001,93771.68400000001,130872.35099999997,124954.16299999997,0.0,89270.72800000002,90162.687,310411.75100000005,339966.7470000001,339306.81299999997,147662.90200000006,144137.03700000004
Olten,65626.28,39172.397,162514.52499999997,55768.093,136950.16599999997,79811.124,77642.42199999998,13373.403999999995,44441.965999999986,60070.608000000015,169099.15899999999,96736.175,220143.07900000003,214224.891,89270.72800000002,0.0,93127.178,221141.02300000002,250696.019,250036.08500000002,58392.17399999999,54866.30899999999
Thun,31264.012000000002,132299.57499999995,128152.257,147480.179,230077.34399999998,172938.30200000008,169354.50799999997,106500.58200000001,137569.14400000003,60962.567,262226.33700000006,62373.90700000001,194297.075,188378.887,90162.687,93127.178,0.0,312853.1090000002,342408.1050000001,341748.1710000001,151519.352,147993.48700000002
Bellinzona,285352.2110000001,260313.41999999995,382240.4560000001,169866.354,304803.78000000014,247664.7380000002,193790.22500000006,234514.42700000003,243464.54600000015,281211.63100000005,315193.32500000007,316462.106,441284.1020000002,435365.9140000002,310411.75100000005,221141.02300000002,312853.1090000002,0.0,29554.995999999985,28895.061999999976,226245.78800000018,222719.92300000016
Lugano,314907.20700000005,289868.4159999999,411795.45200000005,199421.34999999998,334358.77600000007,277219.7340000001,223345.22100000005,264069.423,273019.54200000013,310766.6270000001,344748.3210000001,346017.10199999996,470839.09800000023,464920.91000000027,339966.7470000001,250696.019,342408.1050000001,29554.995999999985,0.0,659.9340000000084,255800.78400000016,252274.91900000014
Lugano Nord,314247.2729999999,289208.4819999999,411135.5179999999,198761.41599999997,333698.84199999983,276559.8000000001,222685.287,263409.48900000006,272359.6080000001,310106.69299999997,344088.3870000001,345357.16799999995,470179.164,464260.9759999999,339306.81299999997,250036.08500000002,341748.1710000001,28895.061999999976,659.9340000000084,0.0,255140.85000000003,251614.98500000013
Zürich Oerlikon,124018.454,97564.57099999997,220906.69899999996,60872.85799999999,78557.992,21418.95,32455.563,45018.76999999999,26113.039999999994,118462.782,119601.26699999999,155128.34899999996,278535.253,272617.06499999994,147662.90200000006,58392.17399999999,151519.352,226245.78800000018,255800.78400000016,255140.85000000003,0.0,5368.4169999999995
Zürich HB,120492.58899999999,94038.70599999996,217380.83399999994,57346.992999999995,83926.409,26787.367,28929.698,41492.90499999999,22587.175000000003,114936.917,116075.40199999997,151602.48400000003,275009.3880000001,269091.2,144137.03700000004,54866.30899999999,147993.48700000002,222719.92300000016,252274.91900000014,251614.98500000013,5368.4169999999995,0.0
